name,rating,ratingCount,priceRanges,category,address,postcode,openingHours,phone,web,serviceInfo,admin_county,admin_district,nuts,pfa,latitude,longitude,country,priceRangeAvg,msoa
Saro's Thai Cafe,4.7,118.0,£10–20,Thai restaurant,"16 Edinburgh Rd, Portsmouth PO1 1DE",PO1 1DE,"{""Sunday"":""12 - 8:30pm"",""Monday"":""Closed"",""Tuesday"":""12 - 3pm"",""Wednesday"":""12 - 3pm"",""Thursday"":""12 - 3pm"",""Friday"":""12 - 3pm"",""Saturday"":""12 - 9:30pm""}",023 9279 9562,,"{""Accessibility"":""Wheelchair-accessible car park"",""Service options"":""No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Coffee, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, Credit cards"",""Children"":""Good for kids, High chairs"",""Parking"":""Paid street parking""}",,Portsmouth,Portsmouth, Hampshire, 50.800259,-1.091516,England,10.0,E02003539
Kurdistan Restaurant Portsmouth,4.5,184.0,£10–20,Restaurant,"37 Fratton Rd, Portsmouth PO1 5AB",PO1 5AB,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10pm"",""Saturday"":""12 - 10pm""}",07462 128921,,"{""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Coffee, Late-night food, Small plates"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids"",""Parking"":""Free of charge street parking, Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.797486,-1.077124,England,10.0,E02003539
King Street Tavern,4.6,772.0,£20–30,Pub,"King Street Tavern, 70 King St, Southsea, Portsmouth, Southsea PO5 4EH",PO5 4EH,"{""Sunday"":""12 - 8pm"",""Monday"":""Closed"",""Tuesday"":""5pm - 2 am"",""Wednesday"":""4pm - 12 am"",""Thursday"":""4pm - 12 am"",""Friday"":""4pm - 12 am"",""Saturday"":""12pm - 12 am""}",023 9307 3568,kingstreettavernsouthsea.co.uk,"{""Accessibility"":""Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Dine-in, Delivery, Takeaway"",""Highlights"":""Live music, Live performances"",""Offerings"":""Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Free of charge street parking, Paid street parking"",""Pets"":""Dogs allowed""}",,Portsmouth,Portsmouth, Hampshire, 50.791935,-1.090513,England,20.0,E02003541
Meat and Barrel,4.3,999.0,£10–20,Restaurant,"110-114 Palmerston Rd, Southsea, Portsmouth, Southsea PO5 3PT",PO5 3PT,"{""Sunday"":""10am - 10 pm"",""Monday"":""11am - 11 pm"",""Tuesday"":""11am - 11 pm"",""Wednesday"":""11am - 11 pm"",""Thursday"":""11am - 11 pm"",""Friday"":""11am - 12 am"",""Saturday"":""10am - 12 am""}",023 9217 6291,meatandbarrel.net,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Highlights"":""Sport"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Happy-hour drinks, Happy-hour food, Late-night food, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Pets"":""Dogs allowed""}",,Portsmouth,Portsmouth, Hampshire, 50.784109,-1.089119,England,10.0,E02003545
Carter & Co.,4.4,267.0,£10–20,,"Carter & Co, 30 Great Southsea St, Southsea, Portsmouth, Southsea PO5 3BY",PO5 3BY,"{""Sunday"":""10am - 8 pm"",""Monday"":""Closed"",""Tuesday"":""Closed"",""Wednesday"":""12 - 10:30pm"",""Thursday"":""12 - 10:30pm"",""Friday"":""12 - 11pm"",""Saturday"":""10am - 11 pm""}",023 9400 8103,carterco.co.uk,{},,Portsmouth,Portsmouth, Hampshire, 50.789904,-1.092979,England,10.0,E02003545
Need Street Food at The Merchant House,4.4,55.0,£10–20,Restaurant,"9, 11 Highland Rd, Southsea, Portsmouth, Southsea PO4 9DA",PO4 9DA,"{""Sunday"":""12 - 8pm"",""Monday"":""5 - 9pm"",""Tuesday"":""5 - 9pm"",""Wednesday"":""5 - 9pm"",""Thursday"":""5 - 9pm"",""Friday"":""4 - 9pm"",""Saturday"":""12 - 9pm""}",,needstreetfood.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Delivery, Dine-in"",""Highlights"":""Fireplace, Sport"",""Offerings"":""Alcohol, Beer, Late-night food, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Payments"":""Credit cards, Debit cards, NFC mobile payments"",""Children"":""Good for kids, Kids' menu""}",,Portsmouth,Portsmouth, Hampshire, 50.786311,-1.069584,England,10.0,E02003543
Brasserie Blanc,4.5,1280.0,Moderate,French restaurant,"113-114, 1 Gunwharf Rd, Portsmouth PO1 3FR",PO1 3FR,,023 9289 1320,brasserieblanc.com,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, On-site services, Dine-in, Delivery, Takeaway"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Healthy options, Organic dishes, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic, Upmarket"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid multi-storey car park, Paid parking lot, Paid street parking, Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.795434,-1.103485,England,,E02003547
Spice Island,4.3,2803.0,£10–20,Pub,"1 Bath Square, Old Portsmouth, Portsmouth PO1 2JL",PO1 2JL,,023 9287 0543,greeneking.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Assistive hearing loop, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, On-site services, Dine-in, Delivery, Takeaway"",""Highlights"":""Great cocktails, Live music"",""Offerings"":""Alcohol, Beer, Cocktails, Food, Free water refills, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Plenty of parking"",""Pets"":""Dogs allowed""}",,Portsmouth,Portsmouth, Hampshire, 50.791979,-1.109098,England,10.0,E02003547
Marmion House,4.8,147.0,£20–30,Restaurant,"89 Marmion Rd, Southsea, Portsmouth, Southsea PO5 2AX",PO5 2AX,"{""Sunday"":""12 - 5pm"",""Monday"":""Closed"",""Tuesday"":""12 - 10:30pm"",""Wednesday"":""12 - 10:30pm"",""Thursday"":""12 - 10:30pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9279 6920,marmionhouse.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Takeaway, Dine-in, Delivery"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards""}",,Portsmouth,Portsmouth, Hampshire, 50.78559,-1.084097,England,20.0,E02003545
The Courtyard,4.3,286.0,£10–20,Restaurant,"Southsea Castle Museum, Clarence Esplanade, Southsea, Portsmouth, Southsea PO5 3PA",PO5 3PA,"{""Sunday"":""9:30am - 5 pm"",""Monday"":""9:30am - 5 pm"",""Tuesday"":""9:30am - 5 pm"",""Wednesday"":""9:30am - 5 pm"",""Thursday"":""9:30am - 5 pm"",""Friday"":""9:30am - 5 pm"",""Saturday"":""9:30am - 5 pm""}",023 9281 7454,thecourtyardsouthseacastle.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Happy-hour drinks, Healthy options, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid street parking"",""Pets"":""Dogs allowed, Dogs allowed inside, Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.778099,-1.088796,England,10.0,E02003547
Farm Kitchen - AM,4.7,753.0,£10–20,Restaurant,"67 Palmerston Rd, Southsea, Portsmouth, Southsea PO5 3PP",PO5 3PP,"{""Sunday"":""8am - 10 pm"",""Monday"":""8am - 10 pm"",""Tuesday"":""8am - 10 pm"",""Wednesday"":""8am - 10 pm"",""Thursday"":""8am - 10 pm"",""Friday"":""8am - 11 pm"",""Saturday"":""8am - 11 pm""}",023 9286 2666,farmkitchensouthsea.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Organic dishes, Small plates, Vegan options, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Paid parking lot, Paid street parking"",""Pets"":""Dogs allowed, Dogs allowed inside, Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.784411,-1.088616,England,10.0,E02003545
Fusion Restaurant and Bar,4.3,77.0,£10–20,African restaurant,"Spring St, Portsmouth PO1 4AA",PO1 4AA,"{""Sunday"":""2pm - 12 am"",""Monday"":""6 - 10pm"",""Tuesday"":""12pm - 12 am"",""Wednesday"":""12pm - 12 am"",""Thursday"":""12pm - 12 am"",""Friday"":""12pm - 2 am"",""Saturday"":""12pm - 2 am""}",023 9298 3184,fusionrnb.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Delivery, Takeaway, Dine-in"",""Highlights"":""Live music, Sport"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Wine"",""Dining options"":""Breakfast, Lunch, Dinner, Catering, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards""}",,Portsmouth,Portsmouth, Hampshire, 50.80062,-1.091494,England,10.0,E02003539
Mangosteen,4.7,242.0,£20–30,Vegan restaurant,"91 Palmerston Rd, Southsea, Portsmouth, Southsea PO5 3PR",PO5 3PR,"{""Sunday"":""12 - 11pm"",""Monday"":""Closed"",""Tuesday"":""5 - 11pm"",""Wednesday"":""5 - 11pm"",""Thursday"":""5 - 11pm"",""Friday"":""5 - 11pm"",""Saturday"":""12 - 11pm""}",023 9283 8815,mangosteensouthsea.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic, Upmarket"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Paid street parking""}",,Portsmouth,Portsmouth, Hampshire, 50.783519,-1.088677,England,20.0,E02003545
Istanbul Grill House,4.2,441.0,£10–20,Turkish restaurant,"210 Fratton Rd, Fratton, Portsmouth PO1 5HD",PO1 5HD,"{""Sunday"":""1pm - 1 am"",""Monday"":""12pm - 12:30 am"",""Tuesday"":""12pm - 12:30 am"",""Wednesday"":""12pm - 12:30 am"",""Thursday"":""12pm - 12:30 am"",""Friday"":""12pm - 1:30 am"",""Saturday"":""12pm - 1:30 am""}",023 9283 3147,fastfood-os.io,"{""Accessibility"":""Wheelchair-accessible entrance"",""Service options"":""No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Halal food, Late-night food, Small plates, Vegetarian options"",""Dining options"":""Lunch, Dinner, Dessert"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Kids' menu"",""Parking"":""Free of charge street parking""}",,Portsmouth,Portsmouth, Hampshire, 50.800786,-1.077088,England,10.0,E02003538
The Wellington,4.1,495.0,Moderate,,"62 High St, Old Portsmouth, Portsmouth PO1 2LY",PO1 2LY,"{""Sunday"":""11am - 9 pm"",""Monday"":""11am - 10 pm"",""Tuesday"":""11am - 10 pm"",""Wednesday"":""11am - 10 pm"",""Thursday"":""11am - 10 pm"",""Friday"":""11am - 10 pm"",""Saturday"":""11am - 11 pm""}",023 9281 8965,wellingtonoldportsmouth.co.uk,{},,Portsmouth,Portsmouth, Hampshire, 50.789382,-1.10607,England,,E02003547
Jenny's Restaurants - Portsmouth,4.2,308.0,£10–20,Restaurant,"4-6 Charlotte St, Portsmouth PO1 4AJ",PO1 4AJ,"{""Sunday"":""9am - 4 pm"",""Monday"":""8am - 5 pm"",""Tuesday"":""8am - 5 pm"",""Wednesday"":""8am - 5 pm"",""Thursday"":""8am - 5 pm"",""Friday"":""8am - 5 pm"",""Saturday"":""8am - 5 pm""}",,placefusion.click,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Coffee, Free water refills, Happy-hour food, Small plates, Vegetarian options"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Payments"":""Credit cards, Debit cards"",""Children"":""Good for kids, High chairs, Kids' menu""}",,Portsmouth,Portsmouth, Hampshire, 50.802279,-1.088581,England,10.0,E02003539
Arepa 2GO - LATIN AMERICAN FOOD,5.0,273.0,£10–20,Restaurant,"60B Victoria Rd S, Southsea, Portsmouth, Southsea PO5 2BT",PO5 2BT,"{""Sunday"":""12 - 4pm"",""Monday"":""Closed"",""Tuesday"":""Closed"",""Wednesday"":""Closed"",""Thursday"":""5 - 10pm"",""Friday"":""5 - 10pm"",""Saturday"":""12 - 10pm""}",023 9279 1746,instagram.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Halal food, Healthy options, Small plates, Vegan options, Vegetarian options"",""Dining options"":""Brunch, Lunch, Dinner, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""High chairs""}",,Portsmouth,Portsmouth, Hampshire, 50.785976,-1.083125,England,10.0,E02003545
Huis Belgian Bar & Kitchen,4.7,1046.0,£20–30,Belgian restaurant,"62 Elm Grove, Southsea, Portsmouth, Southsea PO5 1JG",PO5 1JG,"{""Sunday"":""12 - 11pm"",""Monday"":""5 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""12pm - 12 am"",""Saturday"":""12pm - 12 am""}",023 9217 6465,huissouthsea.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible car park"",""Service options"":""Dine-in, Delivery, Takeaway"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Organic dishes, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Free of charge street parking, Paid street parking, Difficult to find a space""}",,Portsmouth,Portsmouth, Hampshire, 50.790159,-1.088774,England,20.0,E02003545
Justasia,4.4,115.0,£10–20,Filipino restaurant,"83 Kingston Cres, North End, Portsmouth PO2 8AA",PO2 8AA,"{""Sunday"":""12 - 4pm"",""Monday"":""10am - 3 pm"",""Tuesday"":""10am - 3 pm"",""Wednesday"":""10am - 3 pm"",""Thursday"":""10am - 3 pm"",""Friday"":""10am - 4 pm"",""Saturday"":""10am - 5 pm""}",023 9400 8333,justasia.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""From the business"":""Identifies as women-owned"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Coffee, Small plates"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free parking lot, Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.813512,-1.081833,England,10.0,E02003536
Napoli Pizza and Pasta Portsmouth,4.6,56.0,£10–20,Pizza Takeaway,"117 London Rd, North End, Portsmouth PO2 0BN",PO2 0BN,,023 9266 5744,napoliportsmouth.co.uk,"{""Accessibility"":""Wheelchair-accessible toilet"",""Service options"":""Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Has changing table(s), Kids' menu"",""Pets"":""Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.816617,-1.079856,England,10.0,E02003534
The Alchemist Portsmouth,4.4,869.0,Expensive,Cocktail bar,"Unit R02, 89 Gunwharf Rd, Portsmouth PO1 3TZ",PO1 3TZ,,023 9400 3575,thealchemistbars.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Dine-in"",""Highlights"":""Great cocktails"",""Offerings"":""Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, Credit cards"",""Parking"":""Paid parking lot, Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.79606,-1.105588,England,,E02003547
Bubble & Pho,4.7,501.0,£10–20,Vietnamese restaurant,"221 Albert Rd, Southsea, Portsmouth, Southsea PO4 0JP",PO4 0JP,"{""Sunday"":""12 - 10:30pm"",""Monday"":""12 - 2:30pm"",""Tuesday"":""Closed"",""Wednesday"":""12 - 2:30pm"",""Thursday"":""12 - 2:30pm"",""Friday"":""12 - 2:30pm"",""Saturday"":""12 - 10:30pm""}",023 9229 1749,bubbleandpho.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Coffee, Healthy options, Small plates, Vegan options, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Catering, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs""}",,Portsmouth,Portsmouth, Hampshire, 50.786779,-1.073249,England,10.0,E02003543
Rancho Steak,4.3,651.0,£20–30,Restaurant,"61 Osborne Rd, Southsea, Portsmouth, Southsea PO5 3LS",PO5 3LS,"{""Sunday"":""12 - 9pm"",""Monday"":""5 - 11pm"",""Tuesday"":""5 - 11pm"",""Wednesday"":""5 - 11pm"",""Thursday"":""5 - 11pm"",""Friday"":""5 - 11pm"",""Saturday"":""12 - 11pm""}",023 9273 7235,ranchosteakhouseportsmouth.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, All you can eat, Beer, Cocktails, Coffee, Late-night food, Spirits, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Paid street parking""}",,Portsmouth,Portsmouth, Hampshire, 50.785146,-1.09056,England,20.0,E02003547
Natty's Jerk,4.7,382.0,£10–20,Caribbean restaurant,"Commercial Rd, Portsmouth PO1 1BA",PO1 1BA,,0330 016 2798,nattysjerk.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Outdoor seating, Delivery, On-site services, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Gender-neutral toilets, Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, Credit cards"",""Children"":""Good for kids, High chairs"",""Parking"":""Paid parking lot, Paid street parking"",""Pets"":""Dogs allowed""}",,Portsmouth,Portsmouth, Hampshire, 50.798391,-1.091537,England,10.0,E02003539
French Doner Kebab Grill & Shake Portsmouth,4.1,127.0,£1–10,Kebab Shop,"187 London Rd, North End, Portsmouth PO2 9AE",PO2 9AE,,023 9265 2035,fastfood-os.io,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible car park"",""Service options"":""Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Halal food, Late-night food"",""Dining options"":""Lunch, Dinner, Catering, Counter service, Dessert"",""Amenities"":""Gender-neutral toilets, Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Kids' menu"",""Parking"":""Free of charge street parking"",""Pets"":""Dogs allowed, Dogs allowed inside, Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.818792,-1.078678,England,1.0,E02003532
STEKI Authenic Greek Cuisine,4.5,657.0,£20–30,Greek restaurant,"58 Osborne Rd, Southsea, Portsmouth, Southsea PO5 3LU",PO5 3LU,"{""Sunday"":""12 - 11pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 11pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9275 0200,steki.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Coffee, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs"",""Parking"":""Paid parking lot""}",,Portsmouth,Portsmouth, Hampshire, 50.784819,-1.090212,England,20.0,E02003547
